trip_id,date,time,route_id,route_name,transport_type,vehicle_id,source_stop,destination_stop,distance_km,vehicle_capacity,passenger_count,ticket_price,revenue,delay_minutes,travel_time_mins,status
TRIP-10001,2024-01-01,06:20:15,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E102,Central Railway Station,Cyber City Tech Park,16.5,60,17,30.0,510.0,0,45,On-Time
TRIP-10002,2024-01-01,09:45:00,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E111,Central Railway Station,Cyber City Tech Park,16.5,60,58,30.0,1740.0,5,48,Moderate Delay
TRIP-10003,2024-01-01,10:45:15,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E103,Central Railway Station,Cyber City Tech Park,16.5,60,55,30.0,1650.0,4,48,Moderate Delay
TRIP-10004,2024-01-01,17:45:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E107,Central Railway Station,Cyber City Tech Park,16.5,60,61,30.0,1830.0,25,58,Major Delay
TRIP-10005,2024-01-01,22:10:30,BUS-101,Central Station ⇄ IT Tech Park,Bus,BUS-KA01-E108,Central Railway Station,Cyber City Tech Park,16.5,60,20,30.0,600.0,0,45,On-Time
TRIP-10006,2024-01-01,07:40:15,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A202,International Airport Terminal 2,Downtown Central Terminal,28.0,50,28,90.0,2520.0,4,63,Moderate Delay
TRIP-10007,2024-01-01,09:20:00,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A206,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,27,75,Major Delay
TRIP-10008,2024-01-01,10:20:30,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A203,International Airport Terminal 2,Downtown Central Terminal,28.0,50,50,90.0,4500.0,0,60,On-Time
TRIP-10009,2024-01-01,14:20:15,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A209,International Airport Terminal 2,Downtown Central Terminal,28.0,50,29,90.0,2610.0,0,60,On-Time
TRIP-10010,2024-01-01,18:20:30,BUS-102,Airport Express ⇄ Downtown Terminal,Bus,BUS-KA01-A201,International Airport Terminal 2,Downtown Central Terminal,28.0,50,54,90.0,4860.0,0,60,On-Time
TRIP-10011,2024-01-01,07:40:15,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W308,Westside Mall Circle,South Harbor Port Gate,14.2,60,33,25.0,825.0,0,38,On-Time
TRIP-10012,2024-01-01,09:15:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W307,Westside Mall Circle,South Harbor Port Gate,14.2,60,61,25.0,1525.0,0,38,On-Time
TRIP-10013,2024-01-01,14:45:30,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W302,Westside Mall Circle,South Harbor Port Gate,14.2,60,31,25.0,775.0,0,38,On-Time
TRIP-10014,2024-01-01,18:00:00,BUS-105,Westside Mall ⇄ Harbor Port,Bus,BUS-KA02-W307,Westside Mall Circle,South Harbor Port Gate,14.2,60,63,25.0,1575.0,31,60,Major Delay
TRIP-10015,2024-01-01,14:00:00,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U406,State University North Gate,City Commercial Center,11.0,60,38,20.0,760.0,0,32,On-Time
TRIP-10016,2024-01-01,19:10:30,BUS-110,University Campus ⇄ City Center,Bus,BUS-KA02-U403,State University North Gate,City Commercial Center,11.0,60,61,20.0,1220.0,20,49,Major Delay
